X,Y,med_indicator,chip_indicator,Specialty_keys,BOD_Formatted_Name,Latitude,Longitude,CensusYear,CensusTract,CensusCountyFips,CensusStateFips,CensusTract100,CensusStateFips2,State_county_tract
38.86040547,-104.8171334,1,0,specialist,Matthew David D'Addario,38.8610659,-104.8171285,TwoThousandTen,5,41,8,500,8,8041000500
38.96571448,-104.7541996,1,0,specialist,Rebecca Ainge Facy,38.9647415,-104.7531097,TwoThousandTen,71.02,41,8,7102,8,8041007102
39.720096,-104.9594777,1,0,specialist,Leland Blane Kimball,39.7204771,-104.9598092,TwoThousandTen,32.03,31,8,3203,8,8031003203
40.573125,-105.0960077,1,0,specialist,Laura Danielle Milnor,40.5731263,-105.0964247,TwoThousandTen,5.04,69,8,504,8,8069000504
39.65302168,-104.9899515,1,0,specialist,Albert Wah Teh Eng,39.6548909,-104.9903759,TwoThousandTen,57,5,8,5700,8,8005005700
39.74365703,-104.8368207,1,0,specialist,Jose David Gozalo Diaz,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
37.582119,-106.1614093,1,0,specialist,Joseph Andrew Lucero,37.58214919,-106.161355,TwoThousandTen,9767,105,8,976700,8,8105976700
39.56397172,-105.1121769,1,0,specialist,Thomas Stanley Michalik,39.5638768,-105.1128321,TwoThousandTen,120.24,59,8,12024,8,8059012024
39.74365703,-104.8368207,1,0,specialist,Richard Thomas O'Day,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.09186349,-108.564364,1,0,specialist,Brian Jacob Burton,39.0922677,-108.5641984,TwoThousandTen,10.02,77,8,1002,8,8077001002
39.74365703,-104.8368207,1,0,specialist,Dennis William Black,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.85535227,-105.0817714,1,0,specialist,Douglas Crane Hardy,39.82647427,-105.0632717,TwoThousandTen,102.08,59,8,10208,8,8059010208
39.74928859,-105.0008424,1,0,specialist,Sheila Soroushian,39.7495147,-105.0010288,TwoThousandTen,17.01,31,8,1701,8,8031001701
39.74365703,-104.8368207,1,0,specialist,Enrique Eugenio Rosado,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
38.23201069,-104.6246304,1,0,specialist,Gregory Nelson Day,38.2320622,-104.6241691,TwoThousandTen,23,101,8,2300,8,8101002300
39.74365703,-104.8368207,1,0,specialist,Tyler Dale Borg,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
38.87643569,-104.7571788,1,0,specialist,Tyler Evans Nelson,38.8764551,-104.7576459,TwoThousandTen,1.01,41,8,101,8,8041000101
39.74024746,-104.8666702,1,0,specialist,Tania Maria Quinn,39.7405936,-104.8668042,TwoThousandTen,78.01,1,8,7801,8,8001007801
39.74365703,-104.8368207,1,0,specialist,Joshua Jackstien,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
38.79722636,-104.7577278,1,0,specialist,Gary Duane Sheldon,38.79802539,-104.7576571,TwoThousandTen,54,41,8,5400,8,8041005400
39.74365703,-104.8368207,1,0,specialist,Matthew Scott Davis,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.68459805,-105.0814058,1,0,specialist,Wojciech Bobak,39.68378594,-105.0813295,TwoThousandTen,118.04,59,8,11804,8,8059011804
37.34726363,-108.590385,1,0,specialist,Alan Boulware Schafer,37.3472603,-108.5907111,TwoThousandTen,9694,83,8,969400,8,8083969400
38.23346505,-104.6206081,1,0,specialist,Joseph Pruett Zufall,38.2335146,-104.6203101,TwoThousandTen,23,101,8,2300,8,8101002300
39.58053528,-104.8675954,1,0,specialist,Justin Michael Owens,39.5809469,-104.8661546,TwoThousandTen,68.56,5,8,6856,8,8005006856
39.6038242,-104.7087972,1,0,specialist,Randall J Russell,39.6029627,-104.7084643,TwoThousandTen,71.07,5,8,7106,8,8005007106
39.74365703,-104.8368207,1,0,specialist,Steven LeRoy Klyn,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
38.32230577,-104.621706,1,0,specialist,Brandon Christopher Payne,38.322306,-104.6211299,TwoThousandTen,29.03,101,8,2903,8,8101002903
39.9432305,-105.0504832,1,0,specialist,Brian Christopher Bohman,39.9438019,-105.0503524,TwoThousandTen,305,14,8,30500,8,8014030500
39.65302168,-104.9899515,1,0,specialist,Trent Scott Nestman,39.6548909,-104.9903759,TwoThousandTen,57,5,8,5700,8,8005005700
39.74808552,-105.0813747,1,0,specialist,Amir Hossein Dehghan,39.74809229,-105.0800656,TwoThousandTen,114.02,59,8,11402,8,8059011402
39.87969052,-105.0947575,1,0,specialist,Bridger Dean Jensen,39.8793113,-105.0943302,TwoThousandTen,605,59,8,60500,8,8059060500
39.99615754,-105.2607541,1,0,specialist,John Stephen Walker,39.9961443,-105.260392,TwoThousandTen,125.07,13,8,12507,8,8013012507
39.74365703,-104.8368207,1,0,specialist,Thomas W Hebda,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
40.57244854,-105.047364,1,0,specialist,Mark Llewellyn Kochevar,40.5722199,-105.0475017,TwoThousandTen,8.02,69,8,802,8,8069000802
39.98698646,-105.1296495,1,0,specialist,Alan Jon Reisman,39.987578,-105.1298088,TwoThousandTen,130.03,13,8,13003,8,8013013003
