idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
95,"16 WILLIAM ST APT 3,PORTLAND,ME,04103-4828",1,0,0,5,43.66586256,-70.27769397,0,0
96,"160 PARK ST,ORONO,ME,04473-4602",0,0,1,19,44.90164198,-68.64994267,0,0
97,"160 WESTERN AVE,SOUTH PORTLAND,ME,04106-2414",1,0,0,5,43.63501845,-70.32004136,0,0
98,"162 SILVER ST UNIT 1,WATERVILLE,ME,04901-5812",1,0,0,11,44.54214502,-69.64321139,0,0
99,"163 PLEASANT AVE,PORTLAND,ME,04103-3242",2,0,0,5,43.67401792,-70.29322784,0,0
100,"1662 POST RD UNIT B1,WELLS,ME,04090-0497",1,0,0,31,43.32650882,-70.63299831,0,0
101,"167 NARROWS POND RD,WINTHROP,ME,04364-3649",1,0,0,11,44.29765589,-69.94880976,0,0
102,"168 US ROUTE 1,FALMOUTH,ME,04105-2137",1,0,0,5,43.74251057,-70.27156317,0,0
103,"169 ACADEMY ST,PRESQUE ISLE,ME,04769-3167",1,0,0,3,46.67623459,-67.99646861,0,0
104,"17 KENILWORTH ST,PORTLAND,ME,04102-2017",1,0,0,5,43.6671908,-70.2995337,0,0
105,"17 LEVESQUE DR STE 3,ELIOT,ME,03903-2075",2,0,0,31,43.14880461,-70.78601925,0,0
106,"17 THOMASTON COMMONS WAY,THOMASTON,ME,04861-3524",1,0,0,13,44.09302726,-69.17486281,0,0
107,"17 WHIPPLE RD,KITTERY,ME,03904-1701",1,0,0,31,43.08858251,-70.73699622,0,0
108,"171 MAINE MALL RD,SOUTH PORTLAND,ME,04106-2310",1,0,0,5,43.63993507,-70.33426451,0,0
109,"172 ORANGE LAKE RD,WHITING,ME,04691-3218",1,0,0,29,44.7654676,-67.23710703,0,0
110,"173 OCEAN AVE,PORTLAND,ME,04103-5728",1,0,0,5,43.67672532,-70.28145671,0,0
111,"176 COLUMBIA AVE,BRUNSWICK,ME,04011-2924",1,0,0,5,43.90437919,-69.98486802,0,0
112,"179 ACADEMY ST,PRESQUE ISLE,ME,04769-3103",1,0,0,3,46.67577258,-67.99205078,0,0
113,"18 BARTLETT ST,WATERVILLE,ME,04901-7302",1,0,0,11,44.55226449,-69.63870787,0,0
114,"18 ROUNDABOUT DR,SCARBOROUGH,ME,04074-9383",1,0,0,5,43.5744411,-70.3238233,0,0
115,"189 NORTHPORT AVE,BELFAST,ME,04915-6004",0,0,1,27,44.41018903,-68.99366607,0,0
116,"19 AMBERLEY WAY,AUBURN,ME,04210-4376",1,0,0,1,44.08828204,-70.24513861,0,0
117,"19 SHADY LN,FALMOUTH,ME,04105-1415",1,0,0,5,43.73659098,-70.21677285,0,0
118,"19 ST. ANDREWS LANE,BOOTHBAY,ME,4537",1,0,0,15,43.87574582,-69.61733687,0,0
119,"19 SUMMER STREET,ROCKLAND,ME,4841",1,0,0,13,44.12703935,-69.13611602,0,0
120,"191 HIDDEN LAKE RD,OTISFIELD,ME,04270-6021",1,0,0,17,44.1291403,-70.5557503,0,0
121,"192 WESTERN AVE STE A,SOUTH PORTLAND,ME,04106-2428",1,0,0,5,43.63868939,-70.32468573,0,0
122,"193 HOLLYWOOD BLVD,WHITEFIELD,ME,04353-3730",1,0,0,15,44.20521007,-69.61259121,0,0
123,"194 GENEVA DR,STEEP FALLS,ME,04085-6881",1,0,0,5,43.7744705,-70.62665562,0,0
124,"2 ABBEY LN,CAPE ELIZABETH,ME,04107-2539",1,0,0,5,43.58644731,-70.23233944,0,0
125,"2 ALGER DR,SCARBOROUGH,ME,04074-7621",0,0,1,5,43.56527279,-70.39114514,0,0
126,"2 BLACKSTRAP RD,FALMOUTH,ME,04105-2238",1,0,0,5,43.72181236,-70.2993003,0,0
127,"2 FOX RUN RD,FALMOUTH,ME,04105-2452",1,0,0,5,43.78486473,-70.33237432,0,0
128,"2 GREAT FALLS PLZ,AUBURN,ME,04210-5966",1,0,1,1,44.09853861,-70.22583867,0,0
129,"2 KARYNS WAY,LIMINGTON,ME,04049-3143",1,0,0,31,43.7376893,-70.70294984,0,0
130,"2 LIBERTY BELL LN,SCARBOROUGH,ME,04074-8857",1,0,0,5,43.55590202,-70.37236204,0,0
131,"2 LIVEWELL DR APT 105,KENNEBUNK,ME,04043-6763",1,0,0,31,43.39701485,-70.57025021,0,0
132,"2 MEDICAL CENTER DR,BIDDEFORD,ME,04005-9400",0,0,1,31,43.4782877,-70.4928881,0,0
133,"2 WELLSPRING RD,BIDDEFORD,ME,04005-9401",1,0,0,31,43.4795358,-70.4903963,0,0
134,"20 1ST RANGEWAY,WATERVILLE,ME,04901-5160",1,0,0,11,44.54421996,-69.6598672,0,0
135,"20 BELLEVUE AVE,BANGOR,ME,04401-5618",1,0,0,19,44.81049939,-68.75046659,0,0
136,"20 CURTIS RD,PORTLAND,ME,04103-2924",1,0,0,5,43.7151176,-70.28688824,0,0
137,"20 ELLIS CT,BANGOR,ME,04401-1164",1,0,0,19,44.8492268,-68.84472802,0,0
138,"20 KINDRED WAY,YARMOUTH,ME,04096-8399",1,0,0,5,43.78833733,-70.15930803,0,0
139,"20 MIDDLE ST,SOUTH BERWICK,ME,03908-1620",1,0,0,31,43.22776514,-70.81050488,0,0
140,"20 PENN PLZ STE 32,BANGOR,ME,04401-3665",0,0,1,19,44.83576614,-68.74935241,0,0
