idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
636,"4519 EAST 21ST PLACE,TULSA,OK,74114",1,0,0,143,36.12695606,-95.94677537,0,0
637,"4520 MARKETPLACE BLVD,SHAWNEE,OK,74804",1,0,0,125,35.39286274,-96.92025091,0,0
638,"4545 S HARVARD AVENUE,TULSA,OK,74135",1,0,0,143,36.09836464,-95.9401063,0,0
639,"4550 S HARVARD AVE.,TULSA,OK,74135",1,0,0,143,36.09820171,-95.94028483,0,0
640,"4600 KAREN DR.,EDMOND,OK,73013",1,0,0,109,35.61945494,-97.48107973,0,0
641,"4600 W MEMORIAL RD,OKC,OK,73142",1,0,0,109,35.60865629,-97.60448516,0,0
642,"4601 N. MAPLE AVE.,BROKEN ARROW,OK,74012",1,0,0,143,36.05361097,-95.80493789,0,0
643,"4604 S HARVARD, STE. A,TULSA,OK,74135",1,0,0,143,36.09682656,-95.94027211,0,0
644,"4604-C SOUTH HARVARD,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
645,"4604-D SOUTH HARVARD,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
646,"4606 E 67TH ST #310,TULSA,OK,74136",1,0,0,143,36.06140091,-95.94233139,0,0
647,"4606 E 67TH STREET #310,TULSA,OK,74136",0,1,0,143,36.06140091,-95.94233139,0,0
648,"4606 E 67TH STREET #312,TULSA,OK,74136",1,0,0,143,36.06140091,-95.94233139,0,0
649,"4606 E 67TH STREET, BLDG. 7 STE. #201,TULSA,OK,74136",0,0,1,143,36.06140091,-95.94233139,0,0
650,"4606 E 67TH STREET,TULSA,OK,74136",1,0,0,143,36.06140091,-95.94233139,0,0
651,"4607 S WESTERN AVENUE,OKC,OK,73109",1,0,0,109,35.4194053,-97.5306132,0,0
652,"4608 S HARVARD, STE. A,TULSA,OK,74135",1,0,0,143,36.09675932,-95.940273,0,0
653,"4608 SOUTH HARVARD, STE. B,TULSA,OK,74135",1,0,0,143,36.09675932,-95.940273,0,0
654,"464 E 141ST STREET/P.O. BOX 797,GLENPOOL,OK,74033",1,0,0,143,35.94597945,-96.00744395,0,0
655,"4669 E 145TH ST. S,BIXBY,OK,74008",1,0,0,143,35.92458216,-95.87254639,0,0
656,"47 NE 23RD ST,OKC,OK,73105",0,0,1,109,35.51898256,-97.50304595,0,0
657,"4710 W URBANA STREET,BROKEN ARROW,OK,74012",1,0,0,143,36.03439816,-95.85086984,0,0
658,"4712 W URBANA STREET,BROKEN ARROW,OK,74012",1,0,0,143,36.03439722,-95.85084772,0,0
659,"4716 W. URBANA ST,BROKEN ARROW,OK,74012",0,0,1,143,36.03439626,-95.85080345,0,0
660,"4720 W URBANA SREET,BROKEN ARROW,OK,74012",1,0,0,143,36.05361097,-95.80493789,0,0
661,"4724 N MACARTHUR BLVD.,WARR ACRES,OK,73122",1,0,0,109,35.5198379,-97.6184708,0,0
662,"4725 S 176TH E AVENUE,TULSA,OK,74134",1,0,0,143,36.11164977,-95.80388489,0,0
663,"4761 NW 24TH ST. APT 225N,OKC,OK,73127",1,0,0,109,35.47755389,-97.65391954,0,0
664,"4815 S WESTERN,STILLWATER,OK,74074",1,0,0,119,36.08104569,-97.07626601,0,0
665,"4823 S SHERIDAN ROAD, #301,TULSA,OK,74145",1,0,0,143,36.093901,-95.90430833,0,0
666,"4900 N CLASSEN BLVD,OKC,OK,73118",1,0,0,109,35.5206982,-97.533994,0,0
667,"4905 WATERWOOD DR.,NORMAN,OK,73072",1,0,0,27,35.2284662,-97.5148049,0,0
668,"4909 FREMONT BRIDGE COURT,EDMOND,OK,73034",1,0,0,109,35.70188846,-97.42549708,0,0
669,"4918 S COLUMBIA PLACE,TULSA,OK,74105",0,0,1,143,36.0921556,-95.95025748,0,0
670,"4977 E 105TH STREET,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
671,"500 CENTRAL PARK DR. APT 1214,OKC,OK,73105",1,0,0,109,35.5259051,-97.5068262,0,0
672,"500 CENTRAL PARK DR. APT 924,OKC,OK,73105",1,0,0,109,35.5259051,-97.5068262,0,0
673,"500 CENTRAL PARK DR.,OKC,OK,73105",1,0,0,109,35.5259051,-97.5068262,0,0
674,"500 E BLUE STARR DRIVE,CLAREMORE,OK,74017",1,0,0,131,36.32194855,-95.59437252,0,0
675,"500 N FINANCIAL TERRACE,MUSTANG,OK,73064",1,0,0,17,35.39487573,-97.72451712,0,0
676,"500 N. BATH AVE.,OKC,OK,73117",1,0,0,109,35.47469428,-97.4597018,0,0
677,"5008 W. UNIVERSITY BLVD,DURANT,OK,74701",1,0,0,13,34.00490179,-96.42649032,0,0
678,"501 N MUSTANG ROAD, STE. E,MUSTANG,OK,73064",1,0,0,17,35.39449752,-97.72467734,0,0
679,"501 NW 40TH STREET,OKC,OK,73118",1,0,0,109,35.51831174,-97.52952955,0,0
680,"501 SOUTH MAIN,NEWCASTLE,OK,73065",1,0,0,87,35.25212995,-97.61209174,0,0
681,"501 TOWER CIRCLE,MOORE,OK,73160",1,0,0,27,35.33209043,-97.47542585,0,0
682,"5010 E 68TH STREET #204,TULSA,OK,74136",0,0,1,143,36.06140091,-95.94233139,0,0
683,"5010 E 68TH STREET, #104,TULSA,OK,74136",0,0,1,143,36.06140091,-95.94233139,0,0
684,"5011 SOUTH FULTON AVE,TULSA,OK,74135",0,0,1,143,36.09062298,-95.91548755,0,0
685,"5021 N BROADWAY, STE. A,POTEAU,OK,74953",1,0,0,79,35.04466695,-94.60702532,0,0
686,"5021 S FULTON,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
687,"5025 GAILLARDIA CORP PLACE STE A,OKC,OK,73142",0,0,1,109,35.61374054,-97.64245306,0,0
688,"5031 E 116TH ST. N,SPERRY,OK,74073",1,0,0,143,36.3228639,-95.9181237,0,0
689,"505 14TH STREET,PERRY,OK,73077",1,0,0,103,36.3048494,-97.26677065,0,0
690,"505 E. SHERIDAN APT 1305,OKC,OK,73104",1,0,1,109,35.46641769,-97.50480275,0,0
691,"509 S PORTER,NORMAN,OK,73071",1,0,0,27,35.23900768,-97.41140987,0,0
692,"509 SE DELAWARE,BARTLESVILLE,OK,74003",1,0,0,113,36.72745489,-96.06582554,0,0
693,"510 N YORK STREET,MUSKOGEE,OK,74403",1,0,0,101,35.67164287,-95.30675859,0,0
694,"5100 N BROOKLINE #425,OKC,OK,73112",1,0,0,109,35.51841834,-97.57489782,0,0
695,"5103 NW CACHE ROAD,LAWTON,OK,73505",1,0,0,31,34.57886686,-98.47855778,0,0
696,"5108 WEST GORE BLVD. #4,LAWTON,OK,73505",0,0,1,31,34.57886686,-98.47855778,0,0
697,"511 E 2ND STREET,HEAVENER,OK,74937",1,0,0,79,34.82533544,-94.57622739,0,0
698,"5112 N POST ROAD,ARCADIA,OK,73007",1,0,0,109,35.68862223,-97.31856321,0,0
699,"5118  E. 108TH ST.,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
700,"5120 NW 17TH STREET,OKC,OK,73127",1,0,0,109,35.47755389,-97.65391954,0,0
701,"513 SW 159TH ST,OKC,OK,73170",1,0,0,27,35.32737707,-97.55059915,0,0
702,"5143 E 106TH STREET,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
703,"515 COLLEGE AVE./ PO BOX 388,ALVA,OK,73717",1,0,0,151,36.84325917,-98.77292033,0,0
704,"515 COLLEGE AVENUE,ALVA,OK,73717",1,0,0,151,36.84325917,-98.77292033,0,0
705,"515 S BROADWAY,EDMOND,OK,73034",1,0,0,109,35.70188846,-97.42549708,0,0
706,"517 W 2ND,ELK CITY,OK,73644",1,0,0,9,35.41852209,-99.43894123,0,0
707,"519 E FRANKLIN,WEATHERFORD,OK,73096",1,0,0,39,35.51536835,-98.73746648,0,0
708,"519 S SANTA FE AVENUE,EDMOND,OK,73003",2,0,0,109,35.65065556,-97.51398813,0,0
709,"519 S THIRD STREET,MCALESTER,OK,74501",1,0,0,121,34.9817941,-95.79467287,0,0
710,"519 SW 55TH ST.,OKC,OK,73109",1,0,0,109,35.43314126,-97.52454765,0,0
711,"520 W 15TH,EDMOND,OK,73013",1,0,0,109,35.61945494,-97.48107973,0,0
712,"520 WEST 15TH ,EDMOND,OK,73013",1,0,0,109,35.61945494,-97.48107973,0,0
713,"5200 N PORTLAND AVENUE,OKC,OK,73112",1,0,0,109,35.5235271,-97.5831525,0,0
714,"5201 VERBENA LANE,OKC,OK,73142",1,0,0,109,35.6228391,-97.61203634,0,0
715,"521 MERCHANT DRIVE,NORMAN,OK,73069",2,0,0,27,35.2246097,-97.4793456,0,0
716,"5215 E 71ST, STE. #600,TULSA,OK,74136",1,0,0,143,36.06140091,-95.94233139,0,0
717,"528 W HILL STREET,OKC,OK,73118",0,0,1,109,35.51831174,-97.52952955,0,0
718,"5301 MAIN STREET, STE. #111,DEL CITY,OK,73115",1,0,0,109,35.44234418,-97.44152341,0,0
719,"5308 E 115TH PLACE,TULSA,OK,74137",1,0,0,143,36.02055383,-95.92936819,0,0
720,"5314 S YALE #410,TULSA,OK,74135",1,0,0,143,36.09733705,-95.9232534,0,0
721,"5319 S LEWIS #222,TULSA,OK,74105",1,0,0,143,36.09737797,-95.96403492,0,0
722,"5319 S LEWIS AVENUE #222,TULSA,OK,74105",1,0,0,143,36.09737797,-95.96403492,0,0
723,"5319 S LEWIS AVENUE, STE. #200,TULSA,OK,74115",1,0,0,143,36.19238015,-95.90940981,0,0
724,"5319 S LEWIS STE. #222,TULSA,OK,74105",1,0,0,143,36.09737797,-95.96403492,0,0
725,"5364 S 73RD E AVE,TULSA,OK,74145",1,0,0,143,36.08539906,-95.8948459,0,0
726,"540 S 30TH STREET,CLINTON,OK,73601",1,0,0,39,35.48712338,-98.96585605,0,0
727,"5400 N GRAND BLVD., STE. #150,OKC,OK,73112",1,0,0,109,35.52590459,-97.57613641,0,0
728,"5401 NW 116TH ST.,OKLAHOMA CITY,OK,73162",1,0,0,109,35.58110818,-97.64144401,0,0
729,"5404 S MEMORIAL, STE. A,TULSA,OK,74145",1,0,0,143,36.08632694,-95.88666307,0,0
