idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
720,"4808 BROWNRIDGE DRIVE,SHAWNEE,KS,66218",1,0,0,91,39.04124715,-94.83273911,0,0
721,"4810 QAIL CREEK DR.,GREAT BEND,KS,67530",1,0,0,9,38.35285861,-98.79362307,0,0
722,"4811 BOB BILLINGS PKWY., STE. A,LAWRENCE,KS,66049",0,0,1,45,38.9564524,-95.3050776,0,0
723,"4830 QUAIL CREST PL, STE B,LAWRENCE,KS,66049",0,0,1,45,38.960666,-95.3064166,0,0
724,"4830 QUAIL CREST PL., STE A,LAWRENCE,KS,66049",1,0,0,45,38.960666,-95.3064166,0,0
725,"4830 QUAIL CREST PL., STE. A,LAWRENCE,KS,66049",1,0,0,45,38.960666,-95.3064166,0,0
726,"4830 QUAIL CREST PL., STE. B,LAWRENCE,KS,66049",0,0,1,45,38.960666,-95.3064166,0,0
727,"4830 QUAIL CREST PLACE,LAWRENCE,KS,66049",1,0,0,45,38.960666,-95.3064166,0,0
728,"4831 W. 136TH ST., STE. 200,LEAWOOD,KS,66224",1,0,0,91,38.86293488,-94.62814406,0,0
729,"4836 W 121ST STREET,OVERLAND PARK,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
730,"4861 W. 134TH ST. STE. A,LEAWOOD,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
731,"4861 W. 134TH ST.,LEAWOOD,KS,66209",1,0,0,91,38.89909804,-94.63873213,0,0
732,"4900 LEGENDS DR.,LAWRENCE,KS,66049",1,0,0,45,38.9635657,-95.3074992,0,0
733,"4901 LEGENDS DR.,LAWRENCE,KS,66049",1,0,0,45,38.9626482,-95.3074282,0,0
734,"4904 BALLENTINE ST.,SHAWNEE,KS,66203",1,0,0,91,39.03923773,-94.71106916,0,0
735,"4909 ALDEN,SHAWNEE,KS,66216",0,0,1,91,39.01385318,-94.74117183,0,0
736,"4909 N. SIMPSON RD.,NEW CAMBRIN,KS,67470",1,0,0,169,38.9255313,-97.5408402,0,0
737,"500 MAIN ST., STE. 214,NEWTON,KS,67114",1,0,0,79,38.07370597,-97.28887942,0,0
738,"500 N. GEORGIE,DERBY,KS,67037",1,0,0,173,37.56444302,-97.21975241,0,0
739,"5000 W. 114TH ST,LEAWOOD,KS,66211",1,0,0,91,38.92355416,-94.6368546,0,0
740,"5000 W. 95TH ST., STE. 300,PRAIRIE VILLAGE,KS,66207",1,0,0,91,38.95588509,-94.64439972,0,0
741,"5007 W 147TH ST.,LEAWOOD,KS,66224",1,0,0,91,38.86293488,-94.62814406,0,0
742,"501 1ST STREET,OSAWATOMIE,KS,66064",1,0,0,121,38.47802781,-94.98888383,0,0
743,"501 S. FINCHAM,PRATT,KS,67124",1,0,0,151,37.63359774,-98.77251477,0,0
744,"502 S. WESTVIEW DR.,CHANUTE,KS,66720",1,0,0,133,37.67475598,-95.48359343,0,0
745,"502 SHAWNEE ST.,LEAVENWORTH,KS,66048",1,0,0,103,39.28287382,-94.99411241,0,0
746,"5020 INDIAN CREEK PKWY,OVERLAND PARK,KS,66207",1,0,0,91,38.95588509,-94.64439972,0,0
747,"504 E. 4TH ST.,TONGANOXIE,KS,66086",1,0,0,103,39.11707792,-95.07995857,0,0
748,"507 ILLINOIS AVE,PRATT,KS,67124",1,0,0,151,37.63869337,-98.75447907,0,0
